Year,Month,Day,TSU,EQ,Name,Location,Country,Latitude,Longitude,Elevation,Type,Status,Time,VEI,Agent,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION
1950,8,28,,,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,Historical,D1,1,P,6,1,,,,,,,,,6,1,,,,,,,,
1950,9,15,,,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1332,Stratovolcano,Historical,D2,3,P,68,2,,,,,,,,,68,2,,,,,,,,
1950,9,23,,,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,Historical,D1,2,T,1,1,,,1,1,,,,1,1,1,,,1,1,,,,1
1951,1,15,,,Lamington,New Guinea,Papua New Guinea,-8.95,148.15,1680,Stratovolcano,Historical,D2,4,P,2942,4,,,,2,,,,,2942,4,,,,2,,,,
1951,8,3,TSU,EQ,Cosiguina,Nicaragua,Nicaragua,12.98,-87.57,872,Stratovolcano,Historical,D3,,,,,,,,,,,,,1000,3,,,,,,3,,
1951,8,31,,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,Historical,D1,3,,7,1,,,,,,,,,7,1,,,,,,,,
1951,11,5,,,Hakone,Honshu-Japan,Japan,35.22,139.02,1438,Complex volcano,Radiocarbon,D7,,G,2,1,,,,,,,,,2,1,,,,,,,,
1951,12,4,,,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1332,Stratovolcano,Historical,D2,3,P,500,3,1500,4,,,,,,,500,3,1500,4,,,,,,
1951,,,TSU,,Kavachi,Solomon Is-SW Pacifi,Solomon Is.,-9.02,157.95,-20,Submarine volcano,Historical,D1,2,,,,,,,,,,,,,,,,,,,,,
1952,3,27,,,Hakone,Honshu-Japan,Japan,35.22,139.02,1438,Complex volcano,Radiocarbon,D7,,G,1,1,,,,,,,,,1,1,,,,,,,,
